age,sex,juv_misd_count,juv_fel_count,priors_count,c_charge_degree,c_charge_desc,is_recid
69,Male,0,0,0,(F3),Aggravated Assault w/Firearm,0
34,Male,0,0,0,(F3),Felony Battery w/Prior Convict,1
24,Male,0,0,4,(F3),Possession of Cocaine,1
23,Male,1,0,1,(F3),Possession of Cannabis,0
43,Male,0,0,2,(F7),arrest case no charge,0
44,Male,0,0,0,(M1),Battery,0
41,Male,0,0,14,(F3),Possession Burglary Tools,1
43,Male,0,0,3,(F3),arrest case no charge,0
39,Female,0,0,0,(M1),Battery,0
20,Male,0,0,0,(F3),Possession Of Alprazolam,0
26,Female,0,0,0,(F3),Possession Of Alprazolam,0
21,Male,0,0,1,(F2),Insurance Fraud,1
27,Male,0,0,0,(F3),"Poss 3,4 MDMA (Ecstasy)",0
23,Male,0,0,3,(M1),Battery,1
37,Female,0,0,0,(M1),Battery,0
22,Male,0,0,0,(M1),Battery,0
41,Male,0,0,0,(F3),"Poss3,4 Methylenedioxymethcath",0
47,Female,0,0,1,(F3),arrest case no charge,1
31,Male,0,0,7,(F3),Felony Driving While Lic Suspd,1
37,Male,0,0,0,(M1),Battery,0
25,Male,0,0,3,(F3),Grand Theft in the 3rd Degree,0
31,Male,0,0,6,(F3),Driving While License Revoked,1
31,Male,0,0,5,(F3),Possession Of Heroin,1
64,Male,0,0,13,(F3),arrest case no charge,1
21,Male,0,0,1,(F3),Battery on Law Enforc Officer,1
27,Male,0,0,0,(M1),Possession Of Methamphetamine,1
21,Female,0,0,0,(F3),Introduce Contraband Into Jail,0
24,Male,0,0,2,(F3),Poss Pyrrolidinovalerophenone,1
24,Male,0,0,1,(F3),Lewd/Lasc Battery Pers 12+/<16,1
42,Male,0,0,1,(F1),Trafficking In Methamphetamine,0
43,Male,0,0,1,(M2),Susp Drivers Lic 1st Offense,0
32,Male,0,0,0,(M1),Battery,0
54,Female,0,0,0,(F3),"Poss3,4 Methylenedioxymethcath",0
44,Male,0,0,8,(M2),arrest case no charge,0
27,Male,0,0,8,(F3),Carrying Concealed Firearm,1
27,Male,0,0,8,(F3),Carrying Concealed Firearm,1
36,Female,0,0,3,(F3),arrest case no charge,0
26,Male,0,0,5,(F3),Pos Cannabis W/Intent Sel/Del,1
33,Male,0,0,0,(F3),Tampering With Physical Evidence,1
33,Male,0,0,0,(F3),Tampering With Physical Evidence,1
30,Male,0,0,9,(F3),Felony Battery w/Prior Convict,1
32,Male,0,0,4,(F3),Att Tamper w/Physical Evidence,1
