age,juv_misd_count,juv_fel_count,priors_count,sex_encoded,c_charge_degree_encoded,c_charge_desc_encoded,is_recid
69,0,0,0,0,0,0,0
34,0,0,0,0,0,1,1
24,0,0,4,0,0,2,1
23,1,0,1,0,0,3,0
43,0,0,2,0,1,4,0
44,0,0,0,0,2,5,0
41,0,0,14,0,0,6,1
43,0,0,3,0,0,4,0
39,0,0,0,1,2,5,0
20,0,0,0,0,0,7,0
26,0,0,0,1,0,7,0
21,0,0,1,0,3,8,1
27,0,0,0,0,0,9,0
23,0,0,3,0,2,5,1
37,0,0,0,1,2,5,0
22,0,0,0,0,2,5,0
41,0,0,0,0,0,10,0
47,0,0,1,1,0,4,1
31,0,0,7,0,0,11,1
37,0,0,0,0,2,5,0
25,0,0,3,0,0,12,0
31,0,0,6,0,0,13,1
31,0,0,5,0,0,14,1
64,0,0,13,0,0,4,1
21,0,0,1,0,0,15,1
27,0,0,0,0,2,16,1
21,0,0,0,1,0,17,0
24,0,0,2,0,0,18,1
24,0,0,1,0,0,19,1
42,0,0,1,0,4,20,0
43,0,0,1,0,5,21,0
32,0,0,0,0,2,5,0
54,0,0,0,1,0,10,0
44,0,0,8,0,5,4,0
27,0,0,8,0,0,22,1
27,0,0,8,0,0,22,1
36,0,0,3,1,0,4,0
26,0,0,5,0,0,23,1
33,0,0,0,0,0,24,1
33,0,0,0,0,0,24,1
30,0,0,9,0,0,1,1
32,0,0,4,0,0,25,1
63,0,0,0,0,2,5,0
27,0,0,2,0,0,2,0
55,0,0,0,0,0,4,0
32,0,0,15,0,0,26,0
38,0,0,5,0,0,27,0
53,0,0,19,0,0,28,0
49,0,0,7,0,0,29,1
26,0,0,6,0,5,30,0
33,0,0,4,1,2,5,1
24,0,0,1,0,2,5,1
34,1,2,21,0,3,31,1
29,0,0,0,0,2,32,0
21,0,0,2,1,3,4,0
51,0,0,2,0,2,33,0
29,0,0,2,0,2,34,1
25,0,0,0,0,3,35,0
51,0,0,7,1,0,2,0
28,0,0,8,0,0,2,0
36,0,0,22,0,2,36,0
29,0,0,0,0,0,37,1
29,0,0,0,0,2,5,0
25,0,0,9,0,2,5,1
35,0,1,13,0,0,38,1
49,0,0,0,0,2,39,0
34,0,0,4,0,5,40,1
29,0,0,0,0,0,24,0
29,0,0,1,0,0,41,1
28,0,0,0,1,0,12,0
51,0,0,0,0,0,12,0
25,0,0,0,0,0,2,0
48,0,0,20,0,0,4,1
33,0,0,1,0,0,42,0
63,0,0,1,1,4,4,0
30,0,0,3,0,0,2,0
31,0,0,15,0,3,43,1
24,0,0,2,0,0,44,1
27,0,0,0,0,0,11,0
32,0,0,3,0,0,24,0
30,0,0,0,0,2,32,0
49,0,0,4,0,2,5,0
53,0,0,8,0,0,4,0
31,0,0,0,1,2,5,0
35,0,0,5,0,0,13,0
63,0,0,10,0,2,45,1
33,0,0,2,0,3,46,0
27,1,1,15,0,0,13,1
38,0,0,4,0,2,5,1
46,1,3,9,0,0,12,0
22,0,0,1,0,0,47,1
34,0,0,0,1,2,5,0
22,1,0,2,0,0,48,1
29,0,0,4,0,0,4,1
62,0,0,0,0,5,49,0
27,1,0,6,0,3,50,1
33,0,0,0,0,2,5,0
56,0,0,0,1,2,5,0
45,0,0,6,0,0,2,1
45,0,0,6,0,0,2,1
22,0,0,1,0,0,51,0
31,0,0,2,1,0,11,0
34,0,0,0,0,0,52,0
39,0,0,1,0,2,4,0
24,1,0,4,0,2,5,0
29,0,0,5,0,0,53,1
27,0,0,1,0,0,4,1
24,0,0,1,1,5,54,0
40,0,0,2,0,0,4,0
51,0,0,1,0,0,4,0
22,0,0,1,0,2,5,1
22,0,0,0,0,0,12,0
26,0,0,1,1,3,55,1
27,0,0,1,0,1,56,1
59,0,0,2,1,0,4,0
